               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.034776,            0.012163,           0.0052105,             0.58723,             0.45701,             0.46045,             0.24891,            0.051692,            0.010461,            0.023267,            0.006172,            0.006172,            0.006172
                 118,             0.03546,            0.011971,            0.004865,             0.53804,             0.45199,             0.45026,             0.24953,            0.051522,              0.0105,            0.024277,            0.006139,            0.006139,            0.006139
                 119,            0.036252,            0.012817,           0.0050977,             0.48682,               0.448,             0.42496,             0.22675,            0.052845,            0.011011,            0.024973,            0.006106,            0.006106,            0.006106
                 120,            0.034706,            0.011537,           0.0047448,             0.52969,             0.44576,             0.44453,             0.25488,            0.050386,            0.011112,            0.022859,            0.006073,            0.006073,            0.006073
                 121,            0.034139,            0.011895,           0.0044479,             0.56713,             0.47158,             0.43308,             0.20755,            0.051339,            0.011308,            0.022681,             0.00604,             0.00604,             0.00604
                 122,             0.03428,            0.012308,           0.0048753,                0.47,             0.47674,             0.44557,             0.22845,            0.052287,            0.011008,             0.02569,            0.006007,            0.006007,            0.006007
                 123,            0.034282,            0.011619,           0.0039067,             0.58806,             0.45393,             0.44708,             0.24707,            0.053135,            0.010519,            0.026429,            0.005974,            0.005974,            0.005974
                 124,            0.034781,            0.012196,           0.0049917,             0.58298,             0.45985,             0.45103,             0.22865,            0.054898,            0.010632,            0.029489,            0.005941,            0.005941,            0.005941
                 125,             0.03368,            0.011548,           0.0057616,             0.63877,             0.46253,             0.48017,             0.25218,            0.053937,            0.010225,            0.025301,            0.005908,            0.005908,            0.005908
                 126,            0.034253,            0.011952,           0.0052736,             0.51133,              0.5377,             0.49642,             0.26919,             0.05165,            0.010189,            0.024564,            0.005875,            0.005875,            0.005875
                 127,            0.032735,            0.011557,           0.0042998,             0.48941,             0.54626,             0.47265,             0.26808,            0.050596,            0.010082,            0.023679,            0.005842,            0.005842,            0.005842
                 128,            0.032794,            0.011848,           0.0037598,             0.52755,             0.55029,             0.48543,             0.25826,            0.052403,            0.010379,            0.028193,            0.005809,            0.005809,            0.005809
                 129,            0.033553,            0.011855,           0.0048893,             0.46013,               0.557,             0.47415,             0.23099,            0.053984,            0.010281,            0.027831,            0.005776,            0.005776,            0.005776
                 130,            0.032179,            0.011847,           0.0045121,             0.51938,             0.44241,             0.43173,             0.21924,            0.054938,            0.011207,            0.028948,            0.005743,            0.005743,            0.005743
                 131,             0.03303,            0.012336,           0.0040753,             0.46548,             0.55354,             0.50481,             0.23979,            0.053481,            0.010867,            0.028182,             0.00571,             0.00571,             0.00571
                 132,            0.033306,            0.011964,           0.0040725,             0.59038,             0.45531,             0.47011,             0.24312,            0.051809,            0.010994,             0.02594,            0.005677,            0.005677,            0.005677
                 133,            0.031961,            0.010942,           0.0036452,             0.60691,             0.45777,             0.46703,             0.24586,            0.051252,            0.010868,            0.025746,            0.005644,            0.005644,            0.005644
                 134,             0.03307,            0.011594,           0.0044149,             0.48842,              0.5446,             0.47974,             0.24095,            0.052645,            0.010993,            0.026082,            0.005611,            0.005611,            0.005611
                 135,            0.034158,             0.01158,           0.0038402,             0.62083,             0.45637,             0.45386,             0.22689,            0.054096,             0.01087,            0.024694,            0.005578,            0.005578,            0.005578
                 136,            0.033279,            0.011779,           0.0047652,              0.5628,             0.45651,             0.43634,             0.22761,            0.055255,            0.010616,            0.026759,            0.005545,            0.005545,            0.005545
                 137,            0.033835,            0.012562,           0.0043621,             0.60082,             0.47984,              0.4539,             0.25386,            0.054035,            0.010439,            0.024736,            0.005512,            0.005512,            0.005512
                 138,            0.032793,             0.01209,           0.0046027,              0.6096,             0.46208,             0.46738,             0.24343,            0.051751,            0.010548,            0.024128,            0.005479,            0.005479,            0.005479
                 139,            0.032901,            0.011654,           0.0048002,             0.56663,             0.47595,             0.43043,             0.23542,            0.053692,            0.011145,             0.02654,            0.005446,            0.005446,            0.005446
                 140,            0.032458,            0.011793,           0.0045201,             0.63117,             0.47287,             0.46394,              0.2511,            0.051692,             0.01063,            0.024944,            0.005413,            0.005413,            0.005413
                 141,            0.031968,            0.011612,           0.0040219,             0.57849,             0.47701,              0.4426,             0.23943,            0.051923,            0.010637,            0.024457,             0.00538,             0.00538,             0.00538
                 142,            0.032242,            0.011204,           0.0036002,             0.59822,             0.43356,             0.46457,             0.24316,              0.0521,            0.011133,            0.023813,            0.005347,            0.005347,            0.005347
                 143,            0.031935,            0.011907,           0.0029777,             0.60874,             0.46573,             0.45759,             0.23588,            0.053116,            0.010857,            0.023906,            0.005314,            0.005314,            0.005314
                 144,            0.031219,            0.011301,           0.0036705,             0.61206,             0.45992,             0.45739,             0.25538,            0.052736,            0.011058,            0.024081,            0.005281,            0.005281,            0.005281
                 145,            0.030564,            0.011235,           0.0034627,             0.51172,             0.54292,             0.50109,             0.23685,            0.052565,            0.010968,            0.023125,            0.005248,            0.005248,            0.005248
                 146,            0.030801,            0.010917,           0.0038127,             0.51461,             0.53398,             0.49269,             0.25993,            0.053055,            0.010894,            0.024664,            0.005215,            0.005215,            0.005215
                 147,            0.031204,            0.011565,           0.0045637,             0.51074,             0.47722,             0.46805,              0.2365,            0.051819,            0.010921,            0.025919,            0.005182,            0.005182,            0.005182
                 148,            0.031565,            0.010888,           0.0038633,             0.54183,             0.45571,             0.44573,             0.24564,            0.052684,            0.011181,            0.025626,            0.005149,            0.005149,            0.005149
                 149,            0.031631,            0.010972,           0.0034076,             0.48319,             0.50949,             0.44662,             0.24627,            0.052541,            0.010933,            0.024144,            0.005116,            0.005116,            0.005116
                 150,            0.031559,            0.011024,           0.0032443,             0.56113,              0.4624,             0.45449,             0.25835,            0.054848,             0.01087,            0.026141,            0.005083,            0.005083,            0.005083
                 151,            0.030752,              0.0107,            0.004005,             0.60405,             0.44053,              0.4647,             0.26509,            0.054206,            0.011067,            0.025868,             0.00505,             0.00505,             0.00505
                 152,            0.030585,            0.010946,           0.0042025,             0.56512,             0.46076,             0.45902,              0.2425,            0.054743,            0.010945,            0.025198,            0.005017,            0.005017,            0.005017
                 153,            0.032323,            0.011795,           0.0036089,             0.49159,             0.57936,             0.50261,             0.26157,            0.054126,            0.010632,            0.024384,            0.004984,            0.004984,            0.004984
                 154,            0.031578,            0.011114,           0.0041871,             0.52073,             0.53653,             0.49964,             0.26741,            0.051803,            0.010854,            0.023263,            0.004951,            0.004951,            0.004951
                 155,            0.031395,            0.011141,           0.0039017,             0.62045,             0.45149,              0.4603,             0.25552,            0.051016,             0.01075,            0.022045,            0.004918,            0.004918,            0.004918
                 156,            0.031258,            0.011433,           0.0035945,             0.57121,             0.49235,             0.45681,              0.2616,            0.050392,            0.010677,            0.022182,            0.004885,            0.004885,            0.004885
                 157,            0.031269,            0.011094,           0.0034521,             0.63597,             0.45353,             0.47957,              0.2692,            0.050283,            0.010701,            0.023061,            0.004852,            0.004852,            0.004852
                 158,            0.029265,            0.010879,           0.0038318,              0.5363,             0.55099,             0.51277,             0.27197,             0.05159,            0.010885,            0.024357,            0.004819,            0.004819,            0.004819
                 159,            0.031287,            0.011644,           0.0041693,             0.52253,             0.51681,             0.50903,             0.26986,            0.052011,            0.010879,            0.024788,            0.004786,            0.004786,            0.004786
                 160,            0.029684,            0.010901,           0.0036495,             0.57259,             0.53287,             0.50601,             0.27689,            0.051721,               0.011,             0.02555,            0.004753,            0.004753,            0.004753
                 161,            0.030305,            0.012128,           0.0031044,             0.61108,             0.43066,             0.44893,             0.25002,            0.053194,            0.011169,            0.025414,             0.00472,             0.00472,             0.00472
                 162,            0.030153,            0.011097,           0.0032175,             0.67057,             0.41117,             0.45749,             0.25229,            0.054547,            0.011281,            0.026046,            0.004687,            0.004687,            0.004687
                 163,            0.030683,            0.011731,           0.0036989,             0.62298,             0.47384,             0.45342,             0.23821,            0.052297,            0.011565,            0.025997,            0.004654,            0.004654,            0.004654
